Experiment_ID	Replication_ID	Aborted	Random_Seed	Run_Number	Start_Date_Time	Run_Duration(mins)
1	1	0	5023576	0		5,09259259260375e-05
2	2	0	5025486	0		5,09259259260375e-05
3	3	0	5025889	0		5,55555555514786e-05
4	4	0	5026219	0		0,000101851851852075
5	5	0	5026554	0		9,72222222230812e-05
6	6	0	5026852	0		5,55555555550313e-05
7	7	0	5027285	0		0,000101851851852075
8	8	0	5028187	0		5,09259259295902e-05
9	9	0	5028556	0		0,000106481481481069
10	10	0	5028796	0		5,55555555550313e-05
11	11	0	5087923	0		0,000106481481481069
12	12	0	5088707	0		0,00012037037036805
13	13	0	5089463	0		0,000106481481481069
14	14	0	5090276	0		0,000101851851852075
15	15	0	5091111	0		0,000106481481484622
16	16	0	5225269	0		0,000166666666661541
17	17	0	5226484	0		0,000152777777778113
18	18	0	5226917	0		0,000212962962962138
19	19	0	5227356	0		0,000208333333329591
20	20	0	5227832	0		0,000212962962958585
21	21	0	5228397	0		0,000212962962962138
22	22	0	5228854	0		0,000212962962962138
23	23	0	5229373	0		0,00021296296296569
24	24	0	5229887	0		0,000208333333333144
25	25	0	5230451	0		0,000166666666665094
26	26	0	5436318	0		0,000106481481477516
27	27	0	5486304	0		0,000106481481477516
