Experiment_ID	Replication_ID	Response_ID	Run_Number	Response_Name	Value
1	1		0	mean	1,27658552863824
1	1		0	variance	0,90583606795256
2	2		0	mean	1,34395969336
2	2		0	variance	0,980327330278912
3	3		0	mean	1,35740308024816
3	3		0	variance	0,961309912778249
4	4		0	mean	1,36300867914329
4	4		0	variance	0,939075701436522
5	5		0	mean	1,41261126615574
5	5		0	variance	0,940124177408154
6	6		0	mean	1,2552866655073
6	6		0	variance	0,819161570722382
7	7		0	mean	1,31723129689235
7	7		0	variance	0,823319187108189
31	1623	5	0	R	0,15736706336715
31	1623	6	0	Z	0,328198400495255
31	1623	7	0	Mean	1,33018359541951
31	1623	8	0	Variance	0,966574529435061
