Experiment_ID	Model_Name	Start_Date_Time	Experiment_Duration(mins)	Num_Replications_Completed
1	Model-5.mox		9,25925925931992e-06	1
2	Model-5.mox		4,62962962943791e-06	1
3	Model-5.mox		4,62962962943791e-06	1
4	Model-5.mox		9,25925925887583e-06	1
5	Model-5.mox		4,62962962943791e-06	1
6	Model-5.mox		9,25925925931992e-06	1
7	Model-5.mox		9,25925925976401e-06	1
8	Model-5.mox		9,25925925887583e-06	1
9	Model-5.mox		9,25925925887583e-06	1
10	Model-5.mox		4,629629629882e-06	1
11	Model-5.mox		9,25925925887583e-06	1
12	Model-5.mox		9,25925925887583e-06	1
13	Model-5.mox		4,62962962899383e-06	1
14	Model-5.mox		1,38888888887578e-05	1
15	Model-5.mox		9,25925925887583e-06	1
16	Model-5.mox		1,38888888887578e-05	1
17	Model-5.mox		1,38888888878697e-05	1
18	Model-5.mox		9,25925925976401e-06	1
19	Model-5.mox		9,25925925976401e-06	1
20	Model-5.mox		9,25925925887583e-06	1
21	Model-5.mox		1,3888888889646e-05	1
22	Model-5.mox		9,25925926065219e-06	1
23	Model-5.mox		0,00233796296296251	200
24	Model-5.mox		0,00269907407407377	200
25	Model-5.mox		0,0022777777777776	200
26	Function.mox		0,00317129629629631	200
27	Function.mox		0,0129490740740736	200
28	Function.mox		0,00444907407407413	200
29	Function.mox		0,0164120370370369	200
30	Function.mox		0,0344305555555555	200
31	Function.mox		1,38888888888689e-05	1
