Experiment_ID	Replication_ID	Response_ID	Run_Number	Response_Name	Value
4	4	1	0	3_Activity_PC 1_Utilization_prm	0,228884477935035
4	4	2	0	22_Activity_PC2_Utilization_prm	0,247884601008783
4	4	3	0	32_Activity_PC3_Utilization_prm	0,283981889945776
4	4	4	0	70_Queue_Queue PC1_AveWait_prm	0,000770201188070594
4	4	5	0	70_Queue_Queue PC1_MaxLength_prm	1
4	4	6	0	70_Queue_Queue PC1_QueueLength_prm	0
4	4	7	0	87_Queue_Queue PC2_AveWait_prm	1,16944458056069
4	4	8	0	87_Queue_Queue PC2_AveLength_prm	0,0115897645764692
4	4	9	0	87_Queue_Queue PC2_MaxLength_prm	1
4	4	10	0	87_Queue_Queue PC2_QueueLength_prm	0
4	4	11	0	104_Queue_Queue PC3_AveLength_prm	0
4	4	12	0	104_Queue_Queue PC3_MaxLength_prm	1
4	4	13	0	104_Queue_Queue PC3_QueueLength_prm	0
4	4	14	0	104_Queue_Queue PC3_AveWait_prm	0
4	4	15	0	104_Queue_Queue PC3_MaxWait_prm	0
4	4	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
5	5	1	0	3_Activity_PC 1_Utilization_prm	0,239947523100821
5	5	2	0	22_Activity_PC2_Utilization_prm	0,247012184180259
5	5	3	0	32_Activity_PC3_Utilization_prm	0,275409882373314
5	5	4	0	70_Queue_Queue PC1_AveWait_prm	0,00167169794786105
5	5	5	0	70_Queue_Queue PC1_MaxLength_prm	1
5	5	6	0	70_Queue_Queue PC1_QueueLength_prm	0
5	5	7	0	87_Queue_Queue PC2_AveWait_prm	1,06790991287947
5	5	8	0	87_Queue_Queue PC2_AveLength_prm	0,0105331930479441
5	5	9	0	87_Queue_Queue PC2_MaxLength_prm	1
5	5	10	0	87_Queue_Queue PC2_QueueLength_prm	0
5	5	11	0	104_Queue_Queue PC3_AveLength_prm	0
5	5	12	0	104_Queue_Queue PC3_MaxLength_prm	1
5	5	13	0	104_Queue_Queue PC3_QueueLength_prm	0
5	5	14	0	104_Queue_Queue PC3_AveWait_prm	0
5	5	15	0	104_Queue_Queue PC3_MaxWait_prm	0
5	5	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
6	6	1	0	3_Activity_PC 1_Utilization_prm	0,229062092902363
6	6	2	0	22_Activity_PC2_Utilization_prm	0,247626699943411
6	6	3	0	32_Activity_PC3_Utilization_prm	0,286964577207881
6	6	4	0	70_Queue_Queue PC1_AveWait_prm	0,000377496121680515
6	6	5	0	70_Queue_Queue PC1_MaxLength_prm	1
6	6	6	0	70_Queue_Queue PC1_QueueLength_prm	0
6	6	7	0	87_Queue_Queue PC2_AveWait_prm	1,44763142542994
6	6	8	0	87_Queue_Queue PC2_AveLength_prm	0,0143283328109281
6	6	9	0	87_Queue_Queue PC2_MaxLength_prm	2
6	6	10	0	87_Queue_Queue PC2_QueueLength_prm	0
6	6	11	0	104_Queue_Queue PC3_AveLength_prm	0
6	6	12	0	104_Queue_Queue PC3_MaxLength_prm	1
6	6	13	0	104_Queue_Queue PC3_QueueLength_prm	0
6	6	14	0	104_Queue_Queue PC3_AveWait_prm	0
6	6	15	0	104_Queue_Queue PC3_MaxWait_prm	0
6	6	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
7	7	1	0	3_Activity_PC 1_Utilization_prm	0,227400074164573
7	7	2	0	22_Activity_PC2_Utilization_prm	0,264840471755188
7	7	3	0	32_Activity_PC3_Utilization_prm	0,276676485946401
7	7	4	0	70_Queue_Queue PC1_AveWait_prm	0,000521352225611113
7	7	5	0	70_Queue_Queue PC1_MaxLength_prm	1
7	7	6	0	70_Queue_Queue PC1_QueueLength_prm	0
7	7	7	0	87_Queue_Queue PC2_AveWait_prm	1,21684749650547
7	7	8	0	87_Queue_Queue PC2_AveLength_prm	0,0129099105051493
7	7	9	0	87_Queue_Queue PC2_MaxLength_prm	1
7	7	10	0	87_Queue_Queue PC2_QueueLength_prm	0
7	7	11	0	104_Queue_Queue PC3_AveLength_prm	0
7	7	12	0	104_Queue_Queue PC3_MaxLength_prm	1
7	7	13	0	104_Queue_Queue PC3_QueueLength_prm	0
7	7	14	0	104_Queue_Queue PC3_AveWait_prm	0
7	7	15	0	104_Queue_Queue PC3_MaxWait_prm	0
7	7	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
8	8	1	0	3_Activity_PC 1_Utilization_prm	0,235904394629343
8	8	2	0	22_Activity_PC2_Utilization_prm	0,259282749897559
8	8	3	0	32_Activity_PC3_Utilization_prm	0,274858463701894
8	8	4	0	70_Queue_Queue PC1_AveWait_prm	0,00180860390234771
8	8	5	0	70_Queue_Queue PC1_MaxLength_prm	1
8	8	6	0	70_Queue_Queue PC1_QueueLength_prm	0
8	8	7	0	87_Queue_Queue PC2_AveWait_prm	1,32661679765567
8	8	8	0	87_Queue_Queue PC2_AveLength_prm	0,0137310856724541
8	8	9	0	87_Queue_Queue PC2_MaxLength_prm	1
8	8	10	0	87_Queue_Queue PC2_QueueLength_prm	0
8	8	11	0	104_Queue_Queue PC3_AveLength_prm	0
8	8	12	0	104_Queue_Queue PC3_MaxLength_prm	1
8	8	13	0	104_Queue_Queue PC3_QueueLength_prm	0
8	8	14	0	104_Queue_Queue PC3_AveWait_prm	0
8	8	15	0	104_Queue_Queue PC3_MaxWait_prm	0
8	8	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
9	9	1	0	3_Activity_PC 1_Utilization_prm	0,236121896890756
9	9	2	0	22_Activity_PC2_Utilization_prm	0,243235734561453
9	9	3	0	32_Activity_PC3_Utilization_prm	0,281923193709824
9	9	4	0	70_Queue_Queue PC1_AveWait_prm	0,00284402069307419
9	9	5	0	70_Queue_Queue PC1_MaxLength_prm	1
9	9	6	0	70_Queue_Queue PC1_QueueLength_prm	0
9	9	7	0	87_Queue_Queue PC2_AveWait_prm	1,30700391027259
9	9	8	0	87_Queue_Queue PC2_AveLength_prm	0,0126908479379009
9	9	9	0	87_Queue_Queue PC2_MaxLength_prm	1
9	9	10	0	87_Queue_Queue PC2_QueueLength_prm	0
9	9	11	0	104_Queue_Queue PC3_AveLength_prm	0
9	9	12	0	104_Queue_Queue PC3_MaxLength_prm	1
9	9	13	0	104_Queue_Queue PC3_QueueLength_prm	0
9	9	14	0	104_Queue_Queue PC3_AveWait_prm	0
9	9	15	0	104_Queue_Queue PC3_MaxWait_prm	0
9	9	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
10	10	1	0	3_Activity_PC 1_Utilization_prm	0,226298754016451
10	10	2	0	22_Activity_PC2_Utilization_prm	0,262695138403629
10	10	3	0	32_Activity_PC3_Utilization_prm	0,279263991496173
10	10	4	0	70_Queue_Queue PC1_AveWait_prm	0,000605010656541176
10	10	5	0	70_Queue_Queue PC1_MaxLength_prm	1
10	10	6	0	70_Queue_Queue PC1_QueueLength_prm	0
10	10	7	0	87_Queue_Queue PC2_AveWait_prm	1,56650422094876
10	10	8	0	87_Queue_Queue PC2_AveLength_prm	0,0164903394064593
10	10	9	0	87_Queue_Queue PC2_MaxLength_prm	1
10	10	10	0	87_Queue_Queue PC2_QueueLength_prm	0
10	10	11	0	104_Queue_Queue PC3_AveLength_prm	0
10	10	12	0	104_Queue_Queue PC3_MaxLength_prm	1
10	10	13	0	104_Queue_Queue PC3_QueueLength_prm	0
10	10	14	0	104_Queue_Queue PC3_AveWait_prm	0
10	10	15	0	104_Queue_Queue PC3_MaxWait_prm	0
10	10	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
11	11	1	0	3_Activity_PC 1_Utilization_prm	0,234996414935574
11	11	2	0	22_Activity_PC2_Utilization_prm	0,254777884994532
11	11	3	0	32_Activity_PC3_Utilization_prm	0,275578057266631
11	11	4	0	70_Queue_Queue PC1_AveWait_prm	0,00238471955426529
11	11	5	0	70_Queue_Queue PC1_MaxLength_prm	1
11	11	6	0	70_Queue_Queue PC1_QueueLength_prm	0
11	11	7	0	87_Queue_Queue PC2_AveWait_prm	1,28508299080059
11	11	8	0	87_Queue_Queue PC2_AveLength_prm	0,0130828412881909
11	11	9	0	87_Queue_Queue PC2_MaxLength_prm	1
11	11	10	0	87_Queue_Queue PC2_QueueLength_prm	0
11	11	11	0	104_Queue_Queue PC3_AveLength_prm	0
11	11	12	0	104_Queue_Queue PC3_MaxLength_prm	1
11	11	13	0	104_Queue_Queue PC3_QueueLength_prm	0
11	11	14	0	104_Queue_Queue PC3_AveWait_prm	0
11	11	15	0	104_Queue_Queue PC3_MaxWait_prm	0
11	11	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
12	12	1	0	3_Activity_PC 1_Utilization_prm	0,244269404898728
12	12	2	0	22_Activity_PC2_Utilization_prm	0,256271481431824
12	12	3	0	32_Activity_PC3_Utilization_prm	0,270002328171695
12	12	4	0	70_Queue_Queue PC1_AveWait_prm	0,00106432829067567
12	12	5	0	70_Queue_Queue PC1_MaxLength_prm	1
12	12	6	0	70_Queue_Queue PC1_QueueLength_prm	0
12	12	7	0	87_Queue_Queue PC2_AveWait_prm	1,27311730261331
12	12	8	0	87_Queue_Queue PC2_AveLength_prm	0,0130773645732983
12	12	9	0	87_Queue_Queue PC2_MaxLength_prm	1
12	12	10	0	87_Queue_Queue PC2_QueueLength_prm	0
12	12	11	0	104_Queue_Queue PC3_AveLength_prm	0
12	12	12	0	104_Queue_Queue PC3_MaxLength_prm	1
12	12	13	0	104_Queue_Queue PC3_QueueLength_prm	0
12	12	14	0	104_Queue_Queue PC3_AveWait_prm	0
12	12	15	0	104_Queue_Queue PC3_MaxWait_prm	0
12	12	16	0	104_Queue_Queue PC3_CurrentWait_prm	0
13	13	1	0	3_Activity_PC 1_Utilization_prm	0,243208710280893
13	13	2	0	22_Activity_PC2_Utilization_prm	0,254462026560807
13	13	3	0	32_Activity_PC3_Utilization_prm	0,27324821657989
13	13	4	0	70_Queue_Queue PC1_AveWait_prm	0,000927271019159496
13	13	5	0	70_Queue_Queue PC1_MaxLength_prm	1
13	13	6	0	70_Queue_Queue PC1_QueueLength_prm	0
13	13	7	0	87_Queue_Queue PC2_AveWait_prm	1,2507314589085
13	13	8	0	87_Queue_Queue PC2_AveLength_prm	0,0127102576369194
