Experiment_ID	Replication_ID	Aborted	Random_Seed	Run_Number	Start_Date_Time	Run_Duration(mins)
1	1	0	1386242	0		0,000263888888889952
2	2	0	1710891	0		0,000268518518518945
3	3	0	1877604	0		0,000384259259258002
4	4	0	2150092	0		0,000481481481482859
5	5	0	2351166	0		0,000263888888889952
6	6	0	2352016	0		0,000268518518518945
7	7	0	2352803	0		0,000300925925927231
8	8	0	2406531	0		0,000310185185185219
9	9	0	2976134	0		0,000541666666668661
10	10	0	3018082	0		0,000902777777776365
11	11	0	3086784	0		0,00127314814814738
12	12	0	3103152	0		0,00144907407407402
13	13	0	3388303	0		0,00153703703703911
